hour,day_of_week,is_holiday,weather,traffic_level,active_orders,available_riders,avg_prep_time_min,zone_id,distance_km,hist_demand_trend,hist_cancel_rate,surge_multiplier,base_delivery_fee,final_delivery_fee,is_peak_hour
2,6,1,Storm,5,16,13,24.5,15,6.1,0.201,0.1261,2.021,59.92,121.1,1
18,5,1,Cloudy,2,33,36,25.1,15,3.5,0.234,0.1773,1.452,54.34,78.9,1
15,2,0,Cloudy,5,29,16,16.4,15,6.0,-1.093,0.0484,2.092,57.38,120.04,1
10,0,0,Clear,4,22,23,18.9,15,5.0,1.731,0.261,1.493,57.27,85.5,1
10,1,0,Cloudy,4,23,28,22.9,14,3.9,0.682,0.1663,1.441,54.86,79.05,1
20,1,0,Cloudy,2,34,19,17.8,9,9.0,-1.463,0.2892,1.93,56.91,109.84,1
2,2,0,Cloudy,3,15,24,11.6,11,8.3,-0.62,0.2123,1.233,58.72,72.4,0
16,6,0,Clear,2,13,14,24.9,4,4.8,0.223,0.0471,1.45,40.0,58.0,1
4,0,0,Storm,3,22,8,12.3,11,5.5,-1.465,0.153,2.5,53.36,133.4,1
2,4,0,Clear,2,15,21,23.1,12,7.2,1.177,0.097,1.319,54.53,71.93,0
12,2,0,Rain,5,38,10,14.2,7,3.2,-1.046,0.1695,2.5,47.09,117.72,1
23,0,0,Fog,2,18,30,22.3,10,4.3,-1.559,0.0432,1.309,48.93,64.05,0
17,4,0,Clear,4,24,17,22.5,7,13.3,-0.047,0.2861,1.742,62.0,108.0,1
18,4,0,Cloudy,1,28,26,11.8,14,3.9,-0.863,0.2403,1.424,55.19,78.59,1
17,6,0,Cloudy,4,17,9,18.3,3,6.8,-1.028,0.0988,2.033,44.53,90.53,1
18,3,0,Fog,4,32,30,18.7,13,5.9,-0.563,0.0964,1.596,56.82,90.68,1
12,2,0,Storm,2,39,17,20.1,12,9.6,-0.86,0.0536,2.352,65.39,153.8,1
3,5,0,Cloudy,3,7,13,21.4,5,6.9,-0.515,0.1165,1.259,46.91,59.06,0
20,1,0,Fog,2,18,19,16.9,3,3.3,-1.206,0.0463,1.475,36.42,53.72,1
10,4,0,Clear,2,24,16,18.4,9,9.9,-0.717,0.1,1.75,57.67,100.92,1
12,6,1,Clear,3,41,28,16.8,15,2.5,-0.609,0.121,1.918,53.8,103.19,1
8,0,0,Cloudy,4,15,10,18.0,7,4.4,-0.114,0.1171,1.795,43.26,77.65,1
4,6,0,Rain,4,9,8,23.9,4,1.9,1.239,0.0439,1.739,35.96,62.53,1
22,1,0,Clear,4,28,23,22.9,14,7.0,0.647,0.0972,1.725,59.15,102.03,1
18,3,0,Rain,4,38,19,25.3,10,22.3,0.654,0.1609,2.39,86.99,207.91,1
15,1,0,Clear,2,14,20,17.1,7,8.0,-2.078,0.2433,1.237,50.89,62.95,0
