restaurant_lat,restaurant_lon,customer_lat,customer_lon,distance_km,order_hour,day_of_week,weather,traffic_level,prep_time_min,rider_availability,order_size,historical_avg_delivery_min,delivery_time_min
17.454791,78.494146,17.483684,78.475801,3.756,8,1,Rainy,High,19.4,Medium,Medium,43.2,46.4
17.387776,78.492248,17.447272,78.48277,6.692,6,4,Cloudy,Medium,5.7,Medium,Small,47.0,30.4
17.47172,78.390539,17.416637,78.448703,8.694,0,0,Cloudy,High,15.4,Medium,Medium,52.2,56.6
17.439474,78.357331,17.408864,78.307434,6.293,2,5,Clear,High,12.5,Medium,Medium,26.0,46.7
17.318835,78.41076,17.330564,78.364158,5.116,4,0,Cloudy,Medium,17.4,Medium,Medium,33.8,32.3
17.495124,78.381427,17.484948,78.373672,1.399,2,2,Cloudy,Medium,19.5,Medium,Large,49.0,30.8
17.452228,78.429158,17.468735,78.389467,4.593,22,1,Cloudy,Medium,9.0,High,Small,49.0,23.7
17.457213,78.545869,17.467581,78.568049,2.62,0,1,Clear,High,18.5,Medium,Medium,42.3,33.9
17.325623,78.386214,17.360181,78.369496,4.233,9,3,Rainy,Medium,8.0,Medium,Small,26.9,29.1
17.390077,78.413775,17.338586,78.45532,7.227,23,1,Clear,Medium,15.8,Medium,Medium,42.6,38.7
17.37416,78.495023,17.367034,78.524856,3.264,2,1,Rainy,Low,7.1,Medium,Small,49.8,24.4
17.485353,78.451837,17.528559,78.448333,4.819,15,2,Stormy,Medium,19.3,High,Medium,25.6,42.3
17.428773,78.358786,17.412304,78.400183,4.759,6,3,Clear,Medium,14.1,High,Medium,31.4,31.0
17.464552,78.382338,17.465007,78.334436,5.081,7,4,Cloudy,Low,21.9,Medium,Large,50.5,43.0
17.388683,78.53705,17.331272,78.546782,6.467,10,0,Cloudy,Medium,9.3,Low,Small,32.0,31.8
17.345448,78.370633,17.312349,78.383249,3.917,13,1,Stormy,Medium,12.3,Medium,Medium,26.7,42.7
17.410917,78.477019,17.406556,78.446541,3.27,18,0,Rainy,Medium,10.1,High,Medium,46.6,34.7
17.312763,78.508465,17.30064,78.45442,5.894,14,5,Cloudy,Medium,19.1,Medium,Medium,48.2,54.3
17.465526,78.403088,17.491285,78.407312,2.899,0,3,Stormy,Medium,5.5,Low,Small,37.0,28.4
17.426333,78.495016,17.439758,78.496657,1.503,4,1,Clear,Medium,11.2,Medium,Medium,46.6,25.9
17.451618,78.383979,17.497251,78.402412,5.438,15,3,Clear,Medium,13.8,Medium,Medium,42.1,34.6
17.370905,78.40695,17.413478,78.372502,5.981,6,5,Cloudy,Medium,18.2,Medium,Large,32.4,44.0
17.49414,78.412364,17.463086,78.373922,5.343,1,5,Rainy,High,18.2,Low,Medium,37.5,54.5
17.478624,78.549287,17.420741,78.606637,8.856,13,6,Clear,Low,17.0,Medium,Medium,43.3,40.8
17.455677,78.392914,17.498213,78.346557,6.822,7,1,Rainy,High,9.7,Medium,Small,50.5,45.1
17.338928,78.375841,17.318422,78.435771,6.758,20,1,Clear,Low,5.4,Medium,Small,32.2,32.0
17.393344,78.535138,17.374997,78.561536,3.465,21,5,Clear,Medium,18.1,High,Large,28.9,40.3
17.308761,78.382386,17.267768,78.397905,4.847,3,6,Stormy,Low,19.3,Medium,Medium,51.1,54.8
17.330858,78.525856,17.354019,78.50663,3.286,18,1,Cloudy,High,19.6,Medium,Medium,53.6,49.1
17.43661,78.480091,17.410223,78.524228,5.526,20,4,Cloudy,Low,26.3,Medium,Large,26.6,45.2
17.448952,78.465372,17.410162,78.51458,6.772,15,4,Rainy,Medium,7.7,Medium,Small,53.9,41.7
17.493502,78.500268,17.493909,78.526894,2.824,14,6,Cloudy,Medium,11.2,High,Medium,47.3,26.1
17.365165,78.4952,17.395215,78.520386,4.279,11,1,Clear,Low,5.0,Medium,Small,52.7,22.8
17.374092,78.372105,17.346444,78.371284,3.076,11,2,Cloudy,High,14.5,High,Medium,25.7,34.5
17.393911,78.549893,17.420556,78.499233,6.138,1,4,Stormy,Low,19.1,Low,Medium,53.3,53.9
17.337894,78.538378,17.333331,78.598261,6.376,3,6,Clear,Low,14.5,Low,Medium,30.4,40.4
17.325984,78.529318,17.314437,78.471185,6.303,16,5,Clear,Medium,10.9,High,Medium,27.4,39.0
17.395141,78.474458,17.378283,78.473906,1.875,13,3,Rainy,Medium,8.2,Medium,Small,50.8,36.4
17.345382,78.454558,17.302852,78.438614,5.023,4,2,Cloudy,Medium,6.7,High,Small,48.9,28.0
17.433963,78.457256,17.413879,78.490392,4.165,8,1,Clear,Low,18.7,High,Large,38.4,31.9
17.38743,78.352987,17.432941,78.381281,5.884,15,2,Cloudy,Medium,11.4,Medium,Small,50.4,38.1
17.466536,78.449894,17.418796,78.46526,5.553,4,6,Stormy,Medium,13.3,Medium,Medium,51.5,50.8
17.440053,78.474754,17.495049,78.423723,8.167,5,1,Clear,High,11.6,Medium,Medium,25.3,51.7
17.362473,78.481741,17.315373,78.450163,6.218,21,6,Clear,Medium,11.4,High,Medium,26.8,32.4
17.466452,78.416428,17.449896,78.367727,5.484,10,1,Cloudy,Low,11.6,Low,Medium,42.6,37.0
17.460953,78.444256,17.47371,78.501734,6.259,11,0,Cloudy,High,24.8,Medium,Large,26.3,70.4
17.377496,78.477262,17.418037,78.432596,6.541,1,5,Clear,Low,7.9,Low,Small,44.2,37.5
17.357666,78.435661,17.314896,78.491724,7.618,1,3,Cloudy,Medium,13.0,Low,Medium,35.3,43.9
17.436499,78.542427,17.393431,78.495953,6.874,15,5,Cloudy,High,6.8,Medium,Small,40.1,44.8
17.32795,78.491088,17.343356,78.534556,4.922,7,6,Cloudy,High,6.3,Medium,Small,52.5,32.2
17.339982,78.350255,17.315111,78.35921,2.924,6,1,Cloudy,Low,10.8,High,Small,47.3,25.1
17.301472,78.354656,17.318813,78.394463,4.645,4,3,Clear,High,20.4,Medium,Large,35.8,47.6
17.457385,78.48806,17.495855,78.504144,4.605,18,1,Clear,High,18.5,High,Large,52.0,54.4
17.43297,78.432529,17.382195,78.464789,6.603,22,3,Rainy,High,9.0,Medium,Small,39.5,47.3
17.441033,78.517894,17.482372,78.545592,5.455,6,1,Cloudy,High,18.5,High,Medium,36.4,42.7
17.456146,78.384603,17.400656,78.355826,6.884,5,1,Clear,Low,8.0,Medium,Small,53.2,33.2
17.391783,78.352765,17.439642,78.404971,7.681,18,3,Cloudy,High,19.4,High,Medium,25.6,57.1
